,Subject,"THEME (race, identity, activism, government, entertainment, education)",Subject Name,Geographic Coverage,Photographer,Date,Year,Caption,longitude,latitude,latlng,imageurl
"Lobby of the Los Angeles Theatre, 1987",Motion picture theaters--California--Los Angeles County,Other,"Los Angeles Theatre (Los Angeles, Calif.)",Los Angeles (Calif.),"Lubas, Ken",1987-01-01,1987,"Lobby of the Los Angeles Theatre, from which stairs lead to the balcony. The edifice was the last such palace built on Broadway.",-118.2525954,34.04642127,"34.04642127,-118.2525954",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329824a.jpg
"Crowd at Grand Central Market in Los Angeles, Calif., 1987",Markets--California--Los Angeles,Other,"Grand Central Market (Los Angeles, Calif.)",Los Angeles (Calif.),"Gabriel, Robert",1987-01-01,1987,Food shopping in the fast lane: the usual Sunday afternoon crowd at Grand Central Market.,-118.2491367,34.05099381,"34.05099381,-118.2491367",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329504a.jpg
"Colorado Street Bridge in Pasadena, Calif., 1987","Bridges, Concrete--California--Pasadena",Other,,"Colorado Street Bridge (Pasadena, Calif.)","Leffingwell, Randy",1987-01-01,1987,Colorado Street Bridge from west side of the Arroyo Seco.,-118.1662846,34.14448725,"34.14448725,-118.1662846",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329513a.jpg
"Downtown skyline viewed from Elysian Park in Los Angeles, Calif., 1987",Landmarks,Other,,"Elysian Park (Los Angeles, Calif.)","Lubas, Ken",1987-01-01,1987,"Cityscape--The downtown skyline, framed by trees of Elysian Park, stands out against the morning sun at the beginning of a balmy Wednesday.",-118.2410431,34.08529388,"34.08529388,-118.2410431",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329804a.jpg
"Coles P.E. Buffet at 118 East 6th Street in Los Angeles, Calif., 1988",Historic buildings--California--Los Angeles County,Other,"Coles P.E. Buffet (Los Angeles, Calif.)","Los Angeles (Calif.)--Buildings, structures, etc.","Lubas, Ken",1988-01-01,1988,,-118.2492694,34.04484777,"34.04484777,-118.2492694",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329558a.jpg
"LAX main terminal renovation, interior view looking out at Theme Building, Calif., 1988",Buildings--Repair and reconstruction,Other,"Theme Building (Los Angeles, Calif.)","Los Angeles (Calif.)--Buildings, structures, etc.","Lubas, Ken",1988-01-01,1988,View from the inside through the two 64-foot-high windows.,-118.4032524,33.94341335,"33.94341335,-118.4032524",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329555a.jpg
"Fa棠澶ade of the Mayan Theatre in Los Angeles, Calif., 1988",Motion picture theaters--California--Los Angeles County,Other,"Mayan Theatre (Los Angeles, Calif.)","Los Angeles (Calif.)--Buildings, structures, etc.","Meadows, Mike",1988-01-01,1988,Mayan Theater at 11th and Hill streets features revival films in connection with historic theater symposium.,-118.259068,34.040729,"34.040729,-118.259068",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329562a.jpg
"Los Angeles International Airport renovation and reconstruction, 1988",Terminals (Transportation)--California--Los Angeles County,Other,Los Angeles International Airport,"Los Angeles (Calif.)--Buildings, structures, etc.","Fry, George R.",1988-01-01,1988,"Making way--A Pan Am 747 jetliner heads for new gate at Terminal 2 at Los Angeles International Airport even as men and machinery tear into the remains of old Satellite 2 terminal in background. New terminal, already in partial use, is due to be finished next June.",-118.4046364,33.94457041,"33.94457041,-118.4046364",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329561a.jpg
"Fire at the Hall of Justice in Los Angeles, Calif., 1988",Public buildings $z California $z Los Angeles,Other,"Hall of Justice (Los Angeles County, Calif.)--Fire, 1988","Los Angeles (Calif.)--Buildings, structures, etc.","Rapping, Anacleto",1988-01-01,1988,Black smoke billows from the Hall of Justice on Temple Street挞夆洛_,-118.243307,34.0550631,"34.0550631,-118.243307",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329578a.jpg
"Bradbury Building, interior, Los Angeles, Calif., 1989",Historic buildings--California--Los Angeles County,Other,"Bradbury Building (Los Angeles, Calif.)",Los Angeles (Calif.),"Meyer, Rick",1989-01-01,1989,,-118.2481297,34.0508353,"34.0508353,-118.2481297",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00330424a.jpg
"Cityscape with construction of Library Tower [US Bank Tower], Los Angeles, Calif., 1989",Skyscrapers--California--Los Angeles--1980-1990,Other,"U.S. Bank Tower (Los Angeles, Calif.)","Los Angeles (Calif.)--Buildings, structures, etc.","Durell, Robert",1989-01-01,1989,,-118.2544327,34.045939,"34.045939,-118.2544327",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00330438a.jpg
"Luz International solar plant in Boron, Calif., 1989",Solar power plants,Other,Luz International (Firm),Kern County (Calif.),"Gabriel, Robert",1989-01-01,1989,"At top and above, engineers walk--and ride--amid solar reflectors at Luz plant in Boron.",-117.5598049,35.01565746,"35.01565746,-117.5598049",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00330417a.jpg
"Los Angeles Farmer's Market, Calif., 1990",Business,Other,"Farmers Market (Los Angeles, Calif.)",Los Angeles (Calif.),"Romerein, Lisa",1990-01-01,1990,,-118.3610478,34.07233536,"34.07233536,-118.3610478",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326953a.jpg
"Demolition of Ontra Caf棠濠 in Hollywood, Calif., 1990",Historic buildings--California--Los Angeles County,Other,,"Hollywood (Los Angeles, Calif.)--Buildings, structures, etc.","Romerein, Lisa",1990-01-01,1990,,-118.3268684,34.10265469,"34.10265469,-118.3268684",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326955a.jpg
"Farmer's Market clock tower and sign reading ""Meet me at Third and Fairfax"" in Los Angeles, Calif., 1990",Landmarks,Other,"Farmers Market (Los Angeles, Calif.)",Los Angeles (Calif.),"Romerein, Lisa",1990-01-01,1990,,-118.3604363,34.07182213,"34.07182213,-118.3604363",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326954a.jpg
Aerial view of the Pico-Garnier block in Los Angeles (Calif.),Mexican American neighborhoods--California--Los Angeles,Race,,Los Angeles (Calif.),,1971-01-01,1971,,-118.2391119,34.05492611,"34.05492611,-118.2391119",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012915a.jpg
"Motorcycle daredevil Evel Knievel on bike at the Memorial Coliseum in Los Angeles, Calif., 1973",Stunt performers--United States,Race,"Knievel, Evel, $d 1938-2007",Los Angeles (Calif.),"Barnard, Tony",1973-01-01,1973,"THE KNIEVEL KNACK--""挞夆洛_Find a tougher opponent than mind,"" says Evel Knievel. ""My opponent is death."" He'll attempt to jump 50 cars on his motorcycle Sunday at the Coliseum.",-118.2896018,34.01403642,"34.01403642,-118.2896018",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327926a.jpg
Miss National Japanese-American Citizens League and attendants,"Japanese Americans--California--Los Angeles--Societies and clubs, etc.",Race,Japanese American Citizens' League,Los Angeles (Calif.),,1954-01-01,1954,,-118.3310969,34.0336652,"34.0336652,-118.3310969",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012637a.jpg
"Miguel Ungson and Alfredo Santa Cruz  wood carving at Spanish-American Institute in Gardena, Calif., 1954",Hispanic American children--California--Los Angeles County,Race,"Spanish American Institute (Gardena, Calif.)",Gardena (Calif.),,1954-01-01,1954,WOOD CARVERS: Ability as show wood carvers is demonstrated by Miguel Ungson and Alfredo Santa Cruz at Lincoln Day open house at Spanish-American Institute.,-118.2826522,33.88777021,"33.88777021,-118.2826522",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00059377a.jpg
Los Angeles Fire Department accused of lying about desegregation,Discrimination in employment,Race,Los Angeles (Calif.). Fire Dept.,Los Angeles (Calif.),,1955-01-01,1955,,-118.2425559,34.05355721,"34.05355721,-118.2425559",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012625a.jpg
"Leaders at a conference on Fair Employment Practices, Los Angeles (Calif.)",Discrimination in employment,Race,California. Legislature. Assembly. Fair Employment Practices Commission Bill,Los Angeles (Calif.),,1956-01-01,1956,,-118.260296,34.05017933,"34.05017933,-118.260296",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012854a.jpg
Mexican American community leaders discuss narcotic problem in East Los Angeles (Calif.),Mexican Americans--California--Los Angeles,Race,"Morales, Dionicio",Los Angeles (Calif.),,1956-01-01,1956,,-118.2060081,34.034706,"34.034706,-118.2060081",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012853a.jpg
"Anthony Quinn, Fred Astaire, and their daughters",Mexican American actors,Race,"Astaire, Fred",Los Angeles (Calif.),,1959-01-01,1959,,-118.4138095,34.06676523,"34.06676523,-118.4138095",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012891a.jpg
"Bulldozer razes last standing home in Chavez Ravine, Los Angeles (Calif.)",Mexican American neighborhoods--California--Los Angeles,Race,"Arechiga, Abrana","Chavez Ravine (Los Angeles, Calif.)",,1959-01-01,1959,,-118.2409737,34.0732204,"34.0732204,-118.2409737",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00000039a.jpg
"Angustain family evicted from home in Chavez Ravine, Los Angeles (Calif.)",Mexican American neighborhoods--California--Los Angeles,Race,"Angustain, Victoria","Chavez Ravine (Los Angeles, Calif.)",,1959-01-01,1959,,-118.2419454,34.0809377,"34.0809377,-118.2419454",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00000038a.jpg
"African American women and children sitting on steps of house at 29th and Naomi streets in Los Angeles, Calif., 1962",Dwellings $z California $z Los Angeles,Race,,Los Angeles (Calif.),,1962-01-01,1962,,-118.2536495,34.01586839,"34.01586839,-118.2536495",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328206a.jpg
"African American Peola Denham arriving in Los Angeles from Louisiana, 1962",African Americans--Unemployment--Louisiana,Race,National Association for the Advancement of Colored People,Los Angeles (Calif.),,1962-01-01,1962,"ARRIVALS-Peola Denham, wearing hat, is among Negroes debarking here whose train fare from Louisiana was paid by New Orleans Citizens Council. Denham brought his wife and 10 children.",-118.2346433,34.0557661,"34.0557661,-118.2346433",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00061591a.jpg
"Author John Howard Griffin with Terry LaFrance and Dave Fulton Valley State College, Calif., 1964",Race discrimination--Southern States,Race,"Fulton, Dave","Northridge (Los Angeles, Calif.)",,1964-01-01,1964,"DISCUSSING BOOK-John Howard Griffin, left, talks with Terry LaFrance, and Dave Fulton following his appearance at Valley State College Monday. Griffin, who posed as a Negro and visited the South, spoke twice at the college.",-118.5291445,34.23893836,"34.23893836,-118.5291445",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00167837a.jpg
Cinco de Mayo festivities in Los Angeles (Calif.),Mexican Americans--California--Los Angeles--Social life and customs,Race,,Los Angeles (Calif.),,1951-01-01,1951,,-118.2057412,34.03461265,"34.03461265,-118.2057412",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012623a.jpg
"Attorney A. L. Wirin with Rena Frye and her sons, Ronald and Marquette at Los Angeles courthouse, 1965",Lawyers--California--Los Angeles,Race,"Frye, Ronald",Los Angeles (Calif.),,1965-01-01,1965,"FIGURES IN RIOT CASE-Attorney A. L. Wirin, left, with Mrs. Rena Frye, accused of interfering with officers who arrested her sons, Ronald, center, and Marquette, right. Incident touched off riot.",-118.2679054,34.0312429,"34.0312429,-118.2679054",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168304a.jpg
"Merchant Frank Shimohara and young girl at Los Angeles Flower Market, 1965",Japanese American business enterprises--California--Los Angeles,Race,"Shimohara, Frank, 1915-1972","Los Angeles Flower District (Los Angeles, Calif.)","Cox, Bruce H.",1965-01-01,1965,"Cherri Yuen, 7, learns all about flowers from Frank Shimohara at the Los Angeles flower market.",-118.2496798,34.04082944,"34.04082944,-118.2496798",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168236a.jpg
"African American boys from Markham Junior High School gardening at Watts Towers, Los Angeles, Calif., 1965",Urban beautification--California--Los Angeles,Race,"Markham Middle School (Los Angeles, Calif.)","Watts (Los Angeles, Calif.)",,1965-01-01,1965,BEAUTY FOR WATTS TOWER-Students from Markham Junior High School help beautify grounds at Watts Towers with plants. Others set out trees.,-118.2411464,33.93870095,"33.93870095,-118.2411464",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168296a.jpg
"Against the background of the Watts Towers, art instructor Judson Powell with two students 1965",African American artists--California--Los Angeles,Race,"Powell, Judson","Watts (Los Angeles, Calif.)",,1965-01-01,1965,"ART CLASS IN WATTS-Against the background of the Watts Towers, art instructor Judson Powell supervises the efforts of two youngsters.",-118.2409358,33.93903195,"33.93903195,-118.2409358",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326271a.jpg
"Aerial view of two buildings on fire on Avalon Blvd. between 107th and 108th street during Watts Riots, 1965",Fire engines & equipment--California--Los Angeles County--1960-1970,Race,,"Los Angeles (Calif.)--Buildings, structures, etc.","Fry, George R.",1965-01-01,1965,"AERIAL VIEW-Two buildings on Avalon Blvd., the left one at 107th St. are the right one at 108th St., go up in flames in this picture from a helicopter.",-118.2668674,33.93743198,"33.93743198,-118.2668674",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168297a.jpg
"Crowded Los Angeles County courtroom during coroner's inquest of Leonard Deadwyler, 1966",Police--Complaints against--California--Los Angeles,Race,"Deadwyler, Leonard, d.1966",Los Angeles (Calif.)--Race relations,"Cox, Bruce H.",1966-01-01,1966,NO MORE ROOM-Overflow crowd packs Courtroom 12 at inquest into Leonard Deadwyler death after hearing was moved from Hall of Records.,-118.24718,34.05548611,"34.05548611,-118.24718",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325984a.jpg
"Art work made from riot debris displayed at Watts Renaissance of the Arts, Calif., 1966","Watts Riot, Los Angeles, Calif., 1965",Race,,"Watts (Los Angeles, Calif.)","Malmin, John",1966-01-01,1966,DEBRIS-Sculptured effect is produced by a piece of burned roof and sheet metal prepared for display at the Watts Renaissance of the Arts.,-118.2448947,33.94038712,"33.94038712,-118.2448947",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328477a.jpg
"Confrontation between a white youth and group of African Americans during 1966 Teen Post Junior Olympics in Los Angeles, Calif.",Race riots--California--Los Angeles,Race,,Los Angeles (Calif.)--Race relations,,1966-01-01,1966,"CONFRONTATION--Tense-faced white youth, right, is surrounded in Coliseum stands by Negroes who had pursued him during a clash at Teen Post Olympics. Moments later was knocked down.",-118.287735,34.01350283,"34.01350283,-118.287735",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326011a.jpg
"Mexican citizens waiting at U.S.- Mexican border gate in Andrade, Calif., 1967",Border patrols--Mexican-American Border Region,Race,,Andrade (Calif.),"Rogers, Art",1967-01-01,1967,"WAITING AT GATE--Mexican motorists and pedestrians wait to cross into United States as customs and immigration officer Owen T. Miller opens gate separating Andrade, Calif., from Los Algodones, Mex. New drive is under way to keep gate open for 24 hours daily, instead of 10.",-114.7285704,32.71807526,"32.71807526,-114.7285704",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325867a.jpg
"African American boys walk to summer jobs in Watts, Los Angeles (Calif.)",Teenagers,Race,,"Watts (Los Angeles, Calif.)",,1967-01-01,1967,,-118.2545561,33.93656189,"33.93656189,-118.2545561",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00034246a.jpg
